,Abbreviation,Title,Description,Distance
0,COM,Comet,Comet orbit not matching any defined orbit class.,
1,CTc,Chiron-type Comet,"Chiron-type comet, as defined by Levison and Duncan (TJupiter > 3; a > aJupiter).",TJupiter > 3; a > aJupiter
2,ETc,Encke-type Comet,"Encke-type comet, as defined by Levison and Duncan (TJupiter > 3; a < aJupiter).",TJupiter > 3; a < aJupiter
3,HTC,Halley-type Comet*,"Halley-type comet, classical definition (20 y < P < 200 y).",20 y < P < 200 y
4,HYP,Hyperbolic Comet,Comets on hyperbolic orbits (e > 1.0).,e > 1.0
5,JFc,Jupiter-family Comet,"Jupiter-family comet, as defined by Levison and Duncan (2 < TJupiter < 3).",2 < TJupiter < 3
6,JFC,Jupiter-family Comet*,"Jupiter-family comet, classical definition (P < 20 y).",P < 20 y
7,PAR,Parabolic Comet,Comets on parabolic orbits (e = 1.0).,e = 1.0
8,AMO,Amor,Near-Earth asteroid orbits similar to that of 1221 Amor (a > 1.0 AU; 1.017 AU < q < 1.3 AU).,a > 1.0 AU; 1.017 AU < q < 1.3 AU
9,APO,Apollo,Near-Earth asteroid orbits which cross the Earth's orbit similar to that of 1862 Apollo (a > 1.0 AU; q < 1.017 AU).,a > 1.0 AU; q < 1.017 AU
10,AST,Asteroid,Asteroid orbit not matching any defined orbit class.,
11,ATE,Aten,Near-Earth asteroid orbits similar to that of 2062 Aten (a < 1.0 AU; Q > 0.983 AU).,a < 1.0 AU; Q > 0.983 AU
12,CEN,Centaur,Objects with orbits between Jupiter and Neptune (5.5 AU < a < 30.1 AU).,5.5 AU < a < 30.1 AU
13,HYA,Hyperbolic Asteroid,Asteroids on hyperbolic orbits (e > 1.0).,e > 1.0
14,IEO,Interior Earth Object,An asteroid orbit contained entirely within the orbit of the Earth (Q < 0.983 AU).,Q < 0.983 AU
15,IMB,Inner Main-belt Asteroid,Asteroids with orbital elements constrained by (a < 2.0 AU; q > 1.666 AU).,a < 2.0 AU; q > 1.666 AU
16,MBA,Main-belt Asteroid,Asteroids with orbital elements constrained by (2.0 AU < a < 3.2 AU; q > 1.666 AU).,2.0 AU < a < 3.2 AU; q > 1.666 AU
17,MCA,Mars-crossing Asteroid,Asteroids that cross the orbit of Mars constrained by (1.3 AU < q < 1.666 AU; a < 3.2 AU).,1.3 AU < q < 1.666 AU; a < 3.2 AU
18,OMB,Outer Main-belt Asteroid,Asteroids with orbital elements constrained by (3.2 AU < a < 4.6 AU).,3.2 AU < a < 4.6 AU
19,PAA,Parabolic Asteroid,Asteroids on parabolic orbits (e = 1.0).,e = 1.0
20,TJN,Jupiter Trojan,Asteroids traped in Jupiter's L4/L5 Lagrange points (4.6 AU < a < 5.5 AU; e < 0.3).,4.6 AU < a < 5.5 AU; e < 0.3
21,TNO,TransNeptunian Object,Objects with orbits outside Neptune (a > 30.1 AU).,a > 30.1 AU
